RunId,social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,gumbel_plus_mean,gumbel_plus_std,gumbel_minus_mean,gumbel_minus_std,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
0,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,6.5,10.6,0.0,0.0
1,4.0963189816102386,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,151.5,151.9,0.0,5.7
2,0.15480170026421547,1.6231431160122156,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,0.0,0.1,0.0,0.0
3,0.15480170026421547,4.564830008894205,9.94505644775927,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,5.6,8.5,0.0,0.0
4,0.15480170026421547,4.564830008894205,22.173815756104887,1.0674134952947498,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,4.4,9.3,0.0,0.0
5,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,1.002593616489321,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.6675121111795306,7.1,7.5,0.0,0.0
6,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.362917860876769,0.9042186722159385,0.6049188918434083,0.6675121111795306,9.6,10.6,0.0,0.0
7,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9626502365991473,0.6049188918434083,0.6675121111795306,7.8,9.6,0.0,0.0
8,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.9591453153174371,0.6675121111795306,4.8,9.0,0.0,0.0
9,0.15480170026421547,4.564830008894205,22.173815756104887,0.4001409072428942,0.13827459746971726,1.1912111152894795,0.9042186722159385,0.6049188918434083,0.33906355321407317,6.6,8.4,0.0,0.1
10,0.15480170026421547,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,0.0,0.3,0.0,0.0
11,4.0963189816102386,4.564830008894205,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,151.2,152.0,65.9,9.8
12,4.0963189816102386,1.6231431160122156,22.173815756104887,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,15.1,15.2,0.0,0.7
13,4.0963189816102386,1.6231431160122156,9.94505644775927,0.4001409072428942,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,15.0,15.1,4.6,1.3
14,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,0.13827459746971726,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,45.0,45.6,9.3,4.1
15,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.1912111152894795,0.9626502365991473,0.9591453153174371,0.33906355321407317,29.8,30.4,12.0,3.0
16,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9042186722159385,0.9591453153174371,0.33906355321407317,60.2,60.8,25.4,3.6
17,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.6049188918434083,0.33906355321407317,30.2,30.4,12.3,0.9
18,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.6675121111795306,15.1,15.2,6.2,0.6
19,4.0963189816102386,1.6231431160122156,9.94505644775927,1.0674134952947498,1.002593616489321,1.362917860876769,0.9626502365991473,0.9591453153174371,0.33906355321407317,30.2,30.4,12.3,1.6
20,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,150.6,152.0,108.3,62.1
21,1.4041896536946297,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,139.0,143.2,45.2,15.8
