Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
30,36,48,17,44,41,28,30,41,47,40,41,16,40,45,43,69,48,37,54,36,40,45,35,43,58,51,51,56,55
32,37,49,17,44,41,28,31,41,48,43,42,16,40,46,43,70,48,37,57,36,41,46,36,44,59,51,53,56,55
32,38,51,17,44,41,28,31,42,50,45,42,16,42,47,43,72,48,39,57,36,41,46,38,44,60,51,54,57,56
33,38,52,17,44,42,29,33,42,50,48,42,19,44,50,43,75,48,40,59,36,41,48,39,44,61,51,54,57,56
34,39,54,18,44,44,29,34,42,50,51,43,21,44,51,43,76,48,41,62,37,41,48,40,44,61,51,57,57,58
35,40,58,18,45,44,33,36,42,51,54,43,22,46,52,43,77,48,42,65,37,42,48,42,45,62,51,57,57,60
36,41,60,19,45,44,33,38,42,51,56,45,23,48,55,43,79,48,42,66,40,42,48,43,45,62,53,57,58,60
38,41,61,19,45,44,34,40,44,51,57,46,25,50,57,43,80,48,42,67,40,42,48,43,45,62,53,58,58,61
38,44,62,20,45,44,38,43,44,51,58,49,26,50,59,43,82,49,42,68,41,43,49,44,45,64,53,60,59,62
39,44,64,20,45,44,40,47,45,52,58,50,27,52,61,43,83,49,46,70,41,45,49,44,46,65,53,62,59,62
42,44,66,20,45,45,40,49,45,52,60,52,28,55,61,43,83,49,47,71,41,46,49,44,47,65,54,62,59,62
43,45,67,21,45,45,42,51,45,53,62,53,28,56,64,43,84,49,48,71,43,47,49,45,47,65,54,62,59,63
44,45,67,25,46,45,44,53,46,53,65,55,28,58,65,46,84,50,48,72,44,49,50,45,49,65,55,63,59,63
44,46,70,30,46,45,45,56,47,54,66,55,29,58,68,46,85,50,48,72,44,49,50,46,49,67,55,64,59,63
46,47,72,30,47,45,46,57,48,54,67,55,29,59,70,48,85,50,50,73,46,50,51,46,50,68,55,65,59,63
