Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,8
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,8
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,10
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,11
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,11
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,12
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,16
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,17
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,18
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,19
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,19
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,20
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,22
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,22
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,23
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,24
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,24
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,25
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,27
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,28
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,29
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,30
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,30
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,54,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,56,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,56,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,57,10,62,9,53,62,41,7,54,28,15,32
