RunId,iteration,Step,social_radius,fire_radius,exits,p_spreading,p_spreading_environment,gumbel_params,width,height,N,p_env_knowledge_params,fire_avoidance_radius,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal,parameter,value
27,27,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,21,22,0,21,social_radius,0.0
17,17,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,17,0,17,social_radius,0.0
0,0,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,9,19,0,19,social_radius,0.0
13,13,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,9,0,9,social_radius,0.0
28,28,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,9,10,0,9,social_radius,0.0
29,29,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,15,0,15,social_radius,0.0
7,7,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,13,0,12,social_radius,0.0
16,16,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,4,14,0,13,social_radius,0.0
24,24,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,1,12,0,10,social_radius,0.0
8,8,149,0,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,17,0,17,social_radius,0.0
9,9,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,12,12,0,12,social_radius,1.0
8,8,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,9,9,0,9,social_radius,1.0
