RunId,social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,gumbel_plus_mean,gumbel_plus_std,gumbel_minus_mean,gumbel_minus_std,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
729.0,1.500905207358301,0.3494550008326769,24.342734809033573,0.2561611751094461,0.3674396666698158,1.029521205276251,0.5787478470057249,0.6390355340577663,0.6999229262024165,0.0,0.0,0.0,0.0
730.0,1.500905207358301,18.301655119284987,20.123849040828645,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.6999229262024165,104.5,125.7,0.0,0.0
731.0,2.491990872658789,0.3494550008326769,20.123849040828645,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.6999229262024165,0.0,0.0,0.0,0.0
732.0,2.491990872658789,18.301655119284987,24.342734809033573,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.6999229262024165,145.8,146.2,0.0,2.4
733.0,2.491990872658789,18.301655119284987,20.123849040828645,0.2561611751094461,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.6999229262024165,147.9,148.3,0.0,2.4
734.0,2.491990872658789,18.301655119284987,20.123849040828645,0.974387578200549,0.3674396666698158,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.6999229262024165,149.6,149.8,0.0,3.4
735.0,2.491990872658789,18.301655119284987,20.123849040828645,0.974387578200549,0.7555020885542035,1.029521205276251,0.5620001853629947,0.8606219134945423,0.6999229262024165,146.1,146.4,0.0,2.2
736.0,2.491990872658789,18.301655119284987,20.123849040828645,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5787478470057249,0.8606219134945423,0.6999229262024165,146.5,146.7,0.0,1.4
737.0,2.491990872658789,18.301655119284987,20.123849040828645,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.6390355340577663,0.6999229262024165,150.2,150.3,0.0,2.6
738.0,2.491990872658789,18.301655119284987,20.123849040828645,0.974387578200549,0.7555020885542035,0.9424628851003944,0.5620001853629947,0.8606219134945423,0.7062243180349469,148.6,149.0,0.0,2.3
