Agents Removed
0
0
0
0
1
1
2
5
9
14
19
23
28
33
41
47
53
57
64
69
77
84
91
99
104
112
120
128
130
137
143
151
157
164
171
177
183
190
197
204
210
216
221
229
236
243
250
255
260
269
273
280
283
291
298
305
312
319
323
331
333
342
351
355
364
369
377
383
388
395
401
406
408
413
417
422
427
432
435
441
446
449
454
456
461
465
470
476
481
485
491
493
498
503
508
511
515
518
523
527
533
535
541
545
548
551
553
554
557
557
560
563
564
566
568
571
574
576
579
581
584
586
588
591
594
596
597
600
601
604
606
609
610
613
614
617
618
619
620
621
621
621
621
621
621
621
621
621
621
621
