Agents Removed,Agents Removed
0,0.0
0,0.0
0,0.0
2,2.0
6,4.0
10,7.0
17,11.0
24,17.0
28,22.0
36,30.0
42,31.0
50,39.0
55,44.0
63,51.0
69,56.0
72,63.0
76,67.0
77,73.0
81,76.0
84,81.0
87,83.0
89,86.0
90,87.0
92,89.0
92,92.0
94,93.0
95,94.0
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
95,
