Agents Removed
0
0
0
0
1
1
2
2
3
3
4
7
9
13
14
18
20
24
26
30
33
36
41
46
51
57
62
70
75
83
90
95
104
107
115
121
126
133
139
147
153
159
166
172
180
182
191
197
204
211
219
221
229
236
242
249
256
262
268
274
280
287
295
301
308
314
321
327
333
340
347
353
359
364
371
378
382
386
391
395
400
406
409
414
419
422
426
430
435
437
441
444
449
453
458
463
467
471
475
479
484
486
492
494
499
502
507
513
515
521
527
527
532
535
538
538
541
543
546
547
550
552
555
557
559
562
562
565
567
569
571
574
575
578
580
583
583
586
588
589
592
594
597
598
598
599
599
599
599
599
