Agents Know Fire,Agents Know Fire
0,0.0
43,53.0
72,76.0
88,88.0
94,94.0
96,95.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,96.0
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
96,
