2024-06-14 14:14:09,809|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:15:30,953|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:18:38,844|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:19:18,638|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:20:41,043|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:20:59,729|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:20:17,826|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:30:26,776|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:33:41,222|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:35:34,222|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:36:38,783|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:38:08,641|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:55:29,900|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 15:55:44,685|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:03:23,065|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:06:59,494|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:08:31,562|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:09:50,598|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:14:18,819|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:15:22,763|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:16:56,689|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:17:33,102|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:18:57,581|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:20:48,288|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:22:27,759|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:24:28,987|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:26:22,106|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:26:31,321|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-15 16:28:42,472|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 14:37:11,506|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
