Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
226,283,96,141,278,138,214,185,278,129
390,489,151,195,492,202,402,297,507,214
507,600,256,356,587,285,536,407,607,323
596,618,401,481,619,437,612,507,619,470
620,621,552,574,620,531,621,595,621,568
621,621,609,615,620,600,621,620,621,612
621,621,619,621,620,621,621,620,621,618
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
621,621,621,621,620,621,621,621,621,621
