Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
39,38,66,23,45,41,36,42,45,50,54,42,24,55,58,45,85,48,43,68,39,43,45,41,47,63,51,55,58,56
40,38,68,23,45,42,36,44,45,50,56,44,24,56,63,45,85,48,43,70,40,43,47,41,47,63,51,57,58,56
40,39,72,23,45,43,36,44,45,50,61,45,26,57,66,45,85,48,45,71,41,43,47,42,47,64,51,57,58,57
40,40,72,23,45,43,37,49,45,51,64,45,26,57,68,45,85,48,45,71,42,43,48,43,48,64,51,57,58,58
41,41,75,24,46,44,37,50,45,51,65,48,28,57,70,45,85,48,47,72,43,44,48,43,48,64,52,57,59,59
41,41,79,25,46,44,39,51,45,51,67,49,29,60,70,45,85,48,47,75,43,44,48,44,49,65,53,58,59,60
43,43,84,26,46,44,42,52,45,51,67,55,29,60,72,45,85,48,49,76,44,45,49,44,49,65,53,59,60,60
43,44,86,26,46,44,43,56,46,51,69,57,29,60,73,45,85,48,49,78,45,45,49,44,49,65,53,61,60,62
44,44,91,26,46,45,43,57,46,51,71,59,30,60,75,45,86,49,49,81,46,47,49,45,49,65,53,62,60,62
45,44,96,27,46,45,43,57,47,53,72,64,31,60,75,46,87,49,50,83,48,49,49,45,49,66,54,62,60,63
47,44,101,30,46,45,44,57,48,53,72,68,32,61,76,48,87,49,51,83,51,51,49,46,51,66,55,62,60,63
49,46,108,34,46,45,45,57,48,53,75,69,33,61,76,49,88,49,52,84,51,51,51,47,52,66,55,64,61,63
49,47,109,35,46,45,45,58,48,53,75,69,33,61,77,50,90,50,52,85,52,51,52,47,52,67,55,64,61,63
50,49,112,36,47,47,47,59,50,55,75,69,33,62,77,50,90,50,52,85,53,52,54,47,52,68,57,64,61,63
52,51,113,36,49,47,47,60,50,56,75,70,34,64,78,51,92,50,52,86,53,52,54,47,52,68,57,65,61,63
